Date,Pays,Capitale,Population
2026-01-15 00:14,Andorra,Andorra la Vella,84000
2026-01-15 00:14,United Arab Emirates,Abu Dhabi,4975593
2026-01-15 00:14,Afghanistan,Kabul,29121286
2026-01-15 00:14,Antigua and Barbuda,St. John's,86754
2026-01-15 00:14,Anguilla,The Valley,13254
2026-01-15 00:14,Albania,Tirana,2986952
2026-01-15 00:14,Armenia,Yerevan,2968000
2026-01-15 00:14,Angola,Luanda,13068161
2026-01-15 00:14,Antarctica,None,0
2026-01-15 00:14,Argentina,Buenos Aires,41343201
2026-01-15 00:14,American Samoa,Pago Pago,57881
2026-01-15 00:14,Austria,Vienna,8205000
2026-01-15 00:14,Australia,Canberra,21515754
2026-01-15 00:14,Aruba,Oranjestad,71566
2026-01-15 00:14,Åland,Mariehamn,26711
2026-01-15 00:14,Azerbaijan,Baku,8303512
2026-01-15 00:14,Bosnia and Herzegovina,Sarajevo,4590000
2026-01-15 00:14,Barbados,Bridgetown,285653
2026-01-15 00:14,Bangladesh,Dhaka,156118464
2026-01-15 00:14,Belgium,Brussels,10403000
2026-01-15 00:14,Burkina Faso,Ouagadougou,16241811
2026-01-15 00:14,Bulgaria,Sofia,7148785
2026-01-15 00:14,Bahrain,Manama,738004
2026-01-15 00:14,Burundi,Bujumbura,9863117
2026-01-15 00:14,Benin,Porto-Novo,9056010
2026-01-15 00:14,Saint Barthélemy,Gustavia,8450
2026-01-15 00:14,Bermuda,Hamilton,65365
2026-01-15 00:14,Brunei,Bandar Seri Begawan,395027
2026-01-15 00:14,Bolivia,Sucre,9947418
2026-01-15 00:14,Bonaire,Kralendijk,18012
2026-01-15 00:14,Brazil,Brasília,201103330
2026-01-15 00:14,Bahamas,Nassau,301790
2026-01-15 00:14,Bhutan,Thimphu,699847
2026-01-15 00:14,Bouvet Island,None,0
2026-01-15 00:14,Botswana,Gaborone,2029307
2026-01-15 00:14,Belarus,Minsk,9685000
2026-01-15 00:14,Belize,Belmopan,314522
2026-01-15 00:14,Canada,Ottawa,33679000
2026-01-15 00:14,Cocos [Keeling] Islands,West Island,628
2026-01-15 00:14,Democratic Republic of the Congo,Kinshasa,70916439
2026-01-15 00:14,Central African Republic,Bangui,4844927
2026-01-15 00:14,Republic of the Congo,Brazzaville,3039126
2026-01-15 00:14,Switzerland,Bern,7581000
2026-01-15 00:14,Ivory Coast,Yamoussoukro,21058798
2026-01-15 00:14,Cook Islands,Avarua,21388
2026-01-15 00:14,Chile,Santiago,16746491
