[2026-01-14 23:59:18] Andorra | Capitale: Andorra la Vella
[2026-01-15 00:00:16] AndorraCapital:Andorra la VellaPopulation:84000Area (km2):468.0 | Capitale: Andorra la Vella
[2026-01-15 00:00:16] United Arab EmiratesCapital:Abu DhabiPopulation:4975593Area (km2):82880.0 | Capitale: Abu Dhabi
[2026-01-15 00:00:16] AfghanistanCapital:KabulPopulation:29121286Area (km2):647500.0 | Capitale: Kabul
[2026-01-15 00:00:16] Antigua and BarbudaCapital:St. John'sPopulation:86754Area (km2):443.0 | Capitale: St. John's
[2026-01-15 00:00:16] AnguillaCapital:The ValleyPopulation:13254Area (km2):102.0 | Capitale: The Valley
[2026-01-15 00:00:16] AlbaniaCapital:TiranaPopulation:2986952Area (km2):28748.0 | Capitale: Tirana
[2026-01-15 00:00:16] ArmeniaCapital:YerevanPopulation:2968000Area (km2):29800.0 | Capitale: Yerevan
[2026-01-15 00:00:16] AngolaCapital:LuandaPopulation:13068161Area (km2):1246700.0 | Capitale: Luanda
[2026-01-15 00:00:16] AntarcticaCapital:NonePopulation:0Area (km2):1.4E7 | Capitale: None
[2026-01-15 00:00:16] ArgentinaCapital:Buenos AiresPopulation:41343201Area (km2):2766890.0 | Capitale: Buenos Aires
[2026-01-15 00:00:16] American SamoaCapital:Pago PagoPopulation:57881Area (km2):199.0 | Capitale: Pago Pago
[2026-01-15 00:00:16] AustriaCapital:ViennaPopulation:8205000Area (km2):83858.0 | Capitale: Vienna
[2026-01-15 00:00:16] AustraliaCapital:CanberraPopulation:21515754Area (km2):7686850.0 | Capitale: Canberra
[2026-01-15 00:00:16] ArubaCapital:OranjestadPopulation:71566Area (km2):193.0 | Capitale: Oranjestad
[2026-01-15 00:00:16] ÅlandCapital:MariehamnPopulation:26711Area (km2):1580.0 | Capitale: Mariehamn
[2026-01-15 00:00:16] AzerbaijanCapital:BakuPopulation:8303512Area (km2):86600.0 | Capitale: Baku
[2026-01-15 00:00:16] Bosnia and HerzegovinaCapital:SarajevoPopulation:4590000Area (km2):51129.0 | Capitale: Sarajevo
[2026-01-15 00:00:16] BarbadosCapital:BridgetownPopulation:285653Area (km2):431.0 | Capitale: Bridgetown
[2026-01-15 00:00:16] BangladeshCapital:DhakaPopulation:156118464Area (km2):144000.0 | Capitale: Dhaka
[2026-01-15 00:00:16] BelgiumCapital:BrusselsPopulation:10403000Area (km2):30510.0 | Capitale: Brussels
[2026-01-15 00:00:16] Burkina FasoCapital:OuagadougouPopulation:16241811Area (km2):274200.0 | Capitale: Ouagadougou
[2026-01-15 00:00:16] BulgariaCapital:SofiaPopulation:7148785Area (km2):110910.0 | Capitale: Sofia
[2026-01-15 00:00:16] BahrainCapital:ManamaPopulation:738004Area (km2):665.0 | Capitale: Manama
[2026-01-15 00:00:16] BurundiCapital:BujumburaPopulation:9863117Area (km2):27830.0 | Capitale: Bujumbura
[2026-01-15 00:00:16] BeninCapital:Porto-NovoPopulation:9056010Area (km2):112620.0 | Capitale: Porto-Novo
[2026-01-15 00:00:16] Saint BarthélemyCapital:GustaviaPopulation:8450Area (km2):21.0 | Capitale: Gustavia
[2026-01-15 00:00:16] BermudaCapital:HamiltonPopulation:65365Area (km2):53.0 | Capitale: Hamilton
[2026-01-15 00:00:16] BruneiCapital:Bandar Seri BegawanPopulation:395027Area (km2):5770.0 | Capitale: Bandar Seri Begawan
[2026-01-15 00:00:16] BoliviaCapital:SucrePopulation:9947418Area (km2):1098580.0 | Capitale: Sucre
[2026-01-15 00:00:16] BonaireCapital:KralendijkPopulation:18012Area (km2):328.0 | Capitale: Kralendijk
[2026-01-15 00:00:16] BrazilCapital:BrasíliaPopulation:201103330Area (km2):8511965.0 | Capitale: Brasília
[2026-01-15 00:00:16] BahamasCapital:NassauPopulation:301790Area (km2):13940.0 | Capitale: Nassau
[2026-01-15 00:00:16] BhutanCapital:ThimphuPopulation:699847Area (km2):47000.0 | Capitale: Thimphu
[2026-01-15 00:00:16] Bouvet IslandCapital:NonePopulation:0Area (km2):49.0 | Capitale: None
[2026-01-15 00:00:16] BotswanaCapital:GaboronePopulation:2029307Area (km2):600370.0 | Capitale: Gaborone
[2026-01-15 00:00:16] BelarusCapital:MinskPopulation:9685000Area (km2):207600.0 | Capitale: Minsk
[2026-01-15 00:00:16] BelizeCapital:BelmopanPopulation:314522Area (km2):22966.0 | Capitale: Belmopan
[2026-01-15 00:00:16] CanadaCapital:OttawaPopulation:33679000Area (km2):9984670.0 | Capitale: Ottawa
[2026-01-15 00:00:16] Cocos [Keeling] IslandsCapital:West IslandPopulation:628Area (km2):14.0 | Capitale: West Island
[2026-01-15 00:00:16] Democratic Republic of the CongoCapital:KinshasaPopulation:70916439Area (km2):2345410.0 | Capitale: Kinshasa
[2026-01-15 00:00:16] Central African RepublicCapital:BanguiPopulation:4844927Area (km2):622984.0 | Capitale: Bangui
[2026-01-15 00:00:16] Republic of the CongoCapital:BrazzavillePopulation:3039126Area (km2):342000.0 | Capitale: Brazzaville
[2026-01-15 00:00:16] SwitzerlandCapital:BernPopulation:7581000Area (km2):41290.0 | Capitale: Bern
[2026-01-15 00:00:16] Ivory CoastCapital:YamoussoukroPopulation:21058798Area (km2):322460.0 | Capitale: Yamoussoukro
